##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	pc33_read1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	404640790
Sequences flagged as poor quality	0
Sequence length	150
%GC	46
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1102	140	-0.7470159020904958
1102	141	-0.8519374421856369
1102	142	-0.9360145600690117
1102	143	-0.6751247211021401
1102	144	-0.7731828204380378
1102	145	-0.6633616777683713
1102	146	-0.7005836027138272
1102	147	-0.875605003733984
1102	148	-0.8306147856591757
1102	149	-0.686811087664708
1102	150	-0.7613275334700305
1103	1	0.05968712603933568
1103	2	0.17545851367120946
1103	3	-0.2960855804259239
1103	4	-0.2907754401494316
1103	5	-0.552573717499584
1103	6	-0.6393814990877758
1103	7	-0.4906230513827552
1103	8	-0.4751000827797114
1103	9	-0.5653137945534823
1103	10	-0.5879351127091255
1103	11	-0.589509685454523
1103	12	-0.7163094662997125
1103	13	-0.7588902644846343
1103	14	-0.7612711198886615
1103	15	-0.9334732907093368
1103	16	-0.2273332619807391
1103	17	-0.19456192770726233
1103	18	-0.1932128195412517
1103	19	-0.2202969250802056
1103	20	-0.25396275903981547
1103	21	-0.31449813875833144
1103	22	-0.29241565723128815
1103	23	-0.28647039841687416
1103	24	-0.358603465272445
1103	25	-0.24276957218002337
1103	26	-0.3947643001479406
1103	27	-0.360535828173127
1103	28	-0.3328359392082092
1103	29	-0.3916577363139453
1103	30	-0.4720853876679598
1103	31	-0.3534849154249926
1103	32	-0.35526066075376406
1103	33	-0.46751088206563907
1103	34	-0.30695190099243064
1103	35	-0.5597457953575855
1103	36	-0.3272551815674021
1103	37	-0.3386030701782232
1103	38	-0.4008865881900405
1103	39	-0.41518075216136197
